,Time,Data,tire id,lib ver,sensor ver,receiver ver,pressure,z-axis,x-axis,volt (V),temp (°C),frame id,crc,rssi,period(ms)
12,10-30 10:52:05:517,[KUMHO110087A91B39246B0002010D00FBAF52B68D6A00A9],87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,27,46733,0,-87,0
13,10-30 10:52:05:917,[KUMHO110087A91CB2246B0002011C0101B04E1E176A00A5],87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.016,2.98,23,7703,0,-91,0
14,10-30 10:52:08:297,[KUMHO1100/00F700FD/6A],87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.98,27,13045,0,-86,10128
15,10-30 10:52:08:792,[KUMHO110087A90C9C246B000200E400FBB05249786A00A7],87A90C9C,24,1.0.7,1.0.6,0.1,-3.214,-0.25,2.98,27,18808,0,-89,10064
16,10-30 10:52:09:479,[KUMHO110087A90C83246B000100E000FBAF5210B76A00A8],87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4279,0,-88,10240
17,10-30 10:52:10:262,[KUMHO110087A92031246B000100E100FAAF5250916A01A5],87A92031,24,1.0.7,1.0.6,0,-3.568,-0.289,2.97,27,20625,1,-91,10240
18,10-30 10:52:10:965,[KUMHO110087A90D98246B0001010E00FD9F521B986A00A6],87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7064,0,-90,10128
19,10-30 10:52:11:653,[KUMHO110087A91543246B000100690099305011216A01A5],87A91543,24,1.0.7,1.0.6,0,-17.728,-4.072,1.7,25,4385,1,-91,10337
20,10-30 10:52:13:553,[KUMHO110087A91C14246B000100E400FCAF511F2D6A00AC],87A91C14,24,1.0.7,1.0.6,0,-3.214,-0.211,2.97,26,7981,0,-84,10064
21,10-30 10:52:13:937,[KUMHO110087A90D9A246B0001010B00FBB0521EDE6A00A1],87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7902,0,-95,10017
22,10-30 10:52:14:960,[KUMHO110087A90CCF246B000200E100FCAB50A7966A00B0],87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.211,2.93,25,42902,0,-80,10081
23,10-30 10:52:15:674,[KUMHO110087A91B39246B0002010E00FBAF52B68E6A00A9],87A91B39,24,1.0.7,1.0.6,0.1,1.742,-0.25,2.97,27,46734,0,-87,10156
24,10-30 10:52:16:142,[KUMHO110087A91CB2246B0002011B0101B04F1E186A00A5],87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.016,2.98,24,7704,0,-91,10224
25,10-30 10:52:18:426,[KUMHO1100/00F800FD/6A],87A90C04,24,1.0.7,1.0.6,0,-0.854,-0.172,2.98,27,13046,0,-87,10128
26,10-30 10:52:18:857,[KUMHO110087A90C9C246B000200E500FBB05249796A00A7],87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.25,2.98,27,18809,0,-89,10064
27,10-30 10:52:19:705,[KUMHO110087A90C83246B000100E000FBAF5210B86A00A9],87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4280,0,-87,10225
28,10-30 10:52:20:449,[KUMHO110087A90C87246B000100E500FCB05338EC6A00A6],87A90C87,24,1.0.7,1.0.6,0,-3.096,-0.211,2.98,28,14572,0,-90,20282
29,10-30 10:52:20:503,[KUMHO110087A92031246B000100E100FBAF5272926A00A7],87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29330,0,-89,10240
30,10-30 10:52:21:078,[KUMHO110087A90D98246B0001010D00FC9F521B996A00A6],87A90D98,24,1.0.7,1.0.6,0,1.624,-0.211,2.81,27,7065,0,-90,10112
31,10-30 10:52:21:941,[KUMHO110087A90C9E246B000200E300FCB052088A6A00A2],87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2186,0,-94,20561
32,10-30 10:52:21:989,[KUMHO110087A91543246B000100E900FBAF52BFA46A00A3],87A91543,24,1.0.7,1.0.6,0,-2.624,-0.25,2.97,27,49060,0,-93,10336
33,10-30 10:52:23:619,[KUMHO110087A91C14246B000100E400FCAF511F2E6A00A9],87A91C14,24,1.0.7,1.0.6,0,-3.214,-0.211,2.97,26,7982,0,-87,10065
34,10-30 10:52:23:969,[KUMHO110087A90D9A246B0001010B00FBB0521EDF6A00A6],87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7903,0,-90,10032
35,10-30 10:52:25:056,[KUMHO110087A90CCF246B000200E000FBAB50A7976A00B0],87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.25,2.93,25,42903,0,-80,10095
36,10-30 10:52:25:807,[KUMHO110087A91B39246B0002010E00FBAF52B68F6A00A9],87A91B39,24,1.0.7,1.0.6,0.1,1.742,-0.25,2.97,27,46735,0,-87,10133
37,10-30 10:52:26:350,[KUMHO110087A91CB2246B0002011B0100B04F1E196A00A8],87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.055,2.98,24,7705,0,-88,10208
38,10-30 10:52:28:555,[KUMHO1100/00F700FD/6A],87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.97,27,13047,0,-87,10129
39,10-30 10:52:28:923,[KUMHO110087A90C9C246B000100E500FBB052497A6A00A6],87A90C9C,24,1.0.7,1.0.6,0,-3.096,-0.25,2.98,27,18810,0,-90,10065
40,10-30 10:52:29:929,[KUMHO110087A90C83246B000100DF00FBAF5210B96A00A9],87A90C83,24,1.0.7,1.0.6,0,-3.804,-0.25,2.97,27,4281,0,-87,10224
41,10-30 10:52:30:488,[KUMHO110087A90C87246B000100E400FCB05338ED6A00A3],87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.211,2.98,28,14573,0,-93,10039
42,10-30 10:52:30:728,[KUMHO110087A92031246B000100E200FBAF5272936A00A6],87A92031,24,1.0.7,1.0.6,0,-3.45,-0.25,2.97,27,29331,0,-90,10225
43,10-30 10:52:31:223,[KUMHO110087A90D98246B0001010E00FD9F521B9A6A00A5],87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7066,0,-91,10145
44,10-30 10:52:32:214,"[KUMHO110087A90C9E246B000200E300FCB052088B6A00A3]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2187,0,-93,10272
45,10-30 10:52:32:326,"[KUMHO110087A91543246B000100E900FBB052BFA56A00A5]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.25,2.98,27,49061,0,-91,10337
46,10-30 10:52:33:684,"[KUMHO110087A91C14246B000100E500FCAF511F2F6A00A9]
",87A91C14,24,1.0.7,1.0.6,0,-3.096,-0.211,2.97,26,7983,0,-87,10065
47,10-30 10:52:33:987,"[KUMHO110087A90D9A246B0001010B00FBB0521EE06A00A6]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7904,0,-90,10017
48,10-30 10:52:35:138,"[KUMHO110087A90CCF246B000200E000FBAB50A7986A00B1]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.25,2.93,25,42904,0,-79,10081
49,10-30 10:52:35:952,"[KUMHO110087A91B39246B0002010D00FCAF52B6906A00A9]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.211,2.97,27,46736,0,-87,10145
50,10-30 10:52:36:575,"[KUMHO110087A91CB2246B0002011C0101B04F1E1A6A00A7]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.016,2.98,24,7706,0,-89,10224
51,10-30 10:52:38:684,[KUMHO1100/00F800FD/6A],87A90C04,24,1.0.7,1.0.6,0,-0.854,-0.172,2.97,27,13048,0,-87,10129
52,10-30 10:52:38:988,"[KUMHO110087A90C9C246B000200E500FBB052497B6A00A6]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.25,2.98,27,18811,0,-90,10065
53,10-30 10:52:40:170,"[KUMHO110087A90C83246B000100E000FBAF5210BA6A00A9]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4282,0,-87,10240
54,10-30 10:52:40:586,"[KUMHO110087A90C87246B000100E400FDB05338EE6A00A5]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.172,2.98,28,14574,0,-91,10097
55,10-30 10:52:40:969,"[KUMHO110087A92031246B000100E200FAAF5272946A00A6]
",87A92031,24,1.0.7,1.0.6,0,-3.45,-0.289,2.97,27,29332,0,-90,10241
56,10-30 10:52:41:321,"[KUMHO110087A90D98246B0001010E00FD9F521B9B6A00A6]
",87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7067,0,-90,10097
57,10-30 10:52:42:487,"[KUMHO110087A90C9E246B000200E400FCB052088C6A00A2]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,27,2188,0,-94,10272
58,10-30 10:55:22:245,"[KUMHO110087A90C87246B000200E400FDB05338FE6A00A4]
",87A90C87,24,1.0.7,1.0.6,0.1,-3.214,-0.172,2.98,28,14590,0,-92,161659
59,10-30 10:55:23:188,"[KUMHO110087A90D98246B0001010D00FD9F521BAB6A009D]
",87A90D98,24,1.0.7,1.0.6,0,1.624,-0.172,2.81,27,7083,0,-99,161867
60,10-30 10:55:23:826,"[KUMHO110087A90C83246B000100E000FBAF5210CA6A00AC]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4298,0,-84,163656
61,10-30 10:55:24:370,"[KUMHO110087A90D9A246B0001010A00FBB0521EF16A00AC]
",87A90D9A,24,1.0.7,1.0.6,0,1.27,-0.25,2.98,27,7921,0,-84,170382
62,10-30 10:55:24:721,"[KUMHO110087A91C14246B000100E500FCAF511F406A00AE]
",87A91C14,24,1.0.7,1.0.6,0,-3.096,-0.211,2.97,26,8000,0,-82,171037
63,10-30 10:55:24:801,"[KUMHO110087A92031246B000100E100FBAF5272A46A00A9]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29348,0,-87,163831
64,10-30 10:55:26:606,"[KUMHO110087A90CCF246B000200E000FCAB50A7A96A00AF]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.211,2.93,25,42921,0,-81,171468
65,10-30 10:55:26:942,"[KUMHO110087A90C9E246B000200E300FDB052089C6A00A4]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.172,2.98,27,2204,0,-92,164455
66,10-30 10:55:28:108,"[KUMHO110087A91543246B000100E900FBAF52BFB66A00A8]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.25,2.97,27,49078,0,-88,175781
67,10-30 10:55:28:380,"[KUMHO110087A91B39246B0002010D00FCAF52B6A16A00AC]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.211,2.97,27,46753,0,-84,172427
68,10-30 10:55:30:089,"[KUMHO110087A90C9C246B000200E500FCB052498C6A00AB]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.211,2.98,27,18828,0,-85,171100
69,10-30 10:55:30:920,"[KUMHO110087A90C04246B000100F700FDB05233096A00AB]
",87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.98,27,13065,0,-85,172235
70,10-30 10:55:32:358,"[KUMHO110087A90C87246B000100E400FDB05338FF6A00A8]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.172,2.98,28,14591,0,-88,10113
71,10-30 10:55:33:317,"[KUMHO110087A90D98246B0001010D00FD9F521BAC6A009C]
",87A90D98,24,1.0.7,1.0.6,0,1.624,-0.172,2.81,27,7084,0,-100,10129
72,10-30 10:55:34:067,"[KUMHO110087A90C83246B000100DF00FBAF5210CB6A00AD]
",87A90C83,24,1.0.7,1.0.6,0,-3.804,-0.25,2.97,27,4299,0,-83,10241
73,10-30 10:55:34:387,"[KUMHO110087A90D9A246B0001010B00FAB0521EF26A00AC]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.289,2.98,27,7922,0,-84,10017
74,10-30 10:55:34:770,"[KUMHO110087A91C14246B000100E400FCAF511F416A00AC]
",87A91C14,24,1.0.7,1.0.6,0,-3.214,-0.211,2.97,26,8001,0,-84,10049
75,10-30 10:55:35:043,"[KUMHO110087A92031246B000100E100FBAF5272A56A00A3]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29349,0,-93,10241
76,10-30 10:55:36:688,"[KUMHO110087A90CCF246B000100E100FAAB50A7AA6A00AE]
",87A90CCF,24,1.0.7,1.0.6,0,-3.568,-0.289,2.93,25,42922,0,-82,10081
77,10-30 10:55:37:231,"[KUMHO110087A90C9E246B000200E400FCB052089D6A00A7]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,27,2205,0,-89,10288
78,10-30 10:55:38:445,"[KUMHO110087A91543246B000100E900FCB052BFB76A00A9]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.211,2.98,27,49079,0,-87,10337
79,10-30 10:55:38:525,"[KUMHO110087A91B39246B0002010E00FCAF52B6A26A00AB]
",87A91B39,24,1.0.7,1.0.6,0.1,1.742,-0.211,2.97,27,46754,0,-85,10144
80,10-30 10:55:40:154,"[KUMHO110087A90C9C246B000200E500FBB052498D6A00AC]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.25,2.98,27,18829,0,-84,10065
81,10-30 10:55:40:474,"[KUMHO110087A91CB2246B0002011B0100B04F1E2C6A00A1]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.055,2.98,24,7724,0,-95,183899
82,10-30 10:55:41:049,"[KUMHO110087A90C04246B000100F700FDAF52330A6A00A9]
",87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.97,27,13066,0,-87,10128
83,10-30 10:55:42:455,"[KUMHO110087A90C87246B000200E400FCB05339006A00A9]
",87A90C87,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,28,14592,0,-87,10097
84,10-30 10:55:43:429,"[KUMHO110087A90D98246B0001010E00FD9F521BAD6A00A1]
",87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7085,0,-95,10112
85,10-30 10:55:44:292,"[KUMHO110087A90C83246B000100E000FBAF5210CC6A00AF]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4300,0,-81,10224
86,10-30 10:55:44:404,"[KUMHO110087A90D9A246B0001010B00FBB0521EF36A00AC]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7923,0,-84,10016
87,10-30 10:55:44:836,"[KUMHO110087A91C14246B000200E400FCAF511F426A00AF]
",87A91C14,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.97,26,8002,0,-81,10065
88,10-30 10:55:45:283,"[KUMHO110087A92031246B000100E100FBAF5272A66A00A9]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29350,0,-87,10240
89,10-30 10:55:46:769,"[KUMHO110087A90CCF246B000200E100FAAB50A7AB6A00AC]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.289,2.93,25,42923,0,-84,10081
90,10-30 10:55:47:504,"[KUMHO110087A90C9E246B000200E300FCB052089E6A00A7]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2206,0,-89,10273
91,10-30 10:55:48:670,"[KUMHO110087A91B39246B0002010D00FBAF53B6A36A00AB]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28,46755,0,-85,10144
92,10-30 10:55:48:782,"[KUMHO110087A91543246B000100E900FCB052BFB86A00AB]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.211,2.98,27,49080,0,-85,10336
93,10-30 10:55:50:220,"[KUMHO110087A90C9C246B000200E500FCB052498E6A00A9]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.211,2.98,27,18830,0,-87,10065
94,10-30 10:55:50:699,"[KUMHO110087A91CB2246B0002011C0100B04E1E2D6A009E]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.055,2.98,23,7725,0,-98,10224
95,10-30 10:55:51:178,"[KUMHO110087A90C04246B000100F700FDAF52330B6A00A9]
",87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.97,27,13067,0,-87,10129
96,10-30 10:55:52:568,"[KUMHO110087A90C87246B000100E400FCB05339016A00A9]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.211,2.98,28,14593,0,-87,10113
97,10-30 10:55:53:543,"[KUMHO110087A90D98246B0001010E00FD9F521BAE6A00A5]
",87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7086,0,-91,10113
98,10-30 10:55:54:437,"[KUMHO110087A90D9A246B0001010B00FBB0521EF46A00AD]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7924,0,-83,10033
99,10-30 10:55:54:517,"[KUMHO110087A90C83246B000100E000FBAF5210CD6A00AF]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4301,0,-81,10225
100,10-30 10:55:54:900,"[KUMHO110087A91C14246B000100E500FCAF511F436A00AE]
",87A91C14,24,1.0.7,1.0.6,0,-3.096,-0.211,2.97,26,8003,0,-82,10064
101,10-30 10:55:55:508,"[KUMHO110087A92031246B000100E100FBAF5272A76A00A9]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29351,0,-87,10224
102,10-30 10:55:56:866,"[KUMHO110087A90CCF246B000200E000FBAB50A7AC6A00A9]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.25,2.93,25,42924,0,-87,10097
103,10-30 10:55:57:777,"[KUMHO110087A90C9E246B000200E400FCB052089F6A00A3]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,27,2207,0,-93,10272
104,10-30 10:55:58:815,"[KUMHO110087A91B39246B0002010D00FBAF53B6A46A00AB]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28,46756,0,-85,10145
105,10-30 10:55:59:118,"[KUMHO110087A91543246B000100E900FBB052BFB96A00A9]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.25,2.98,27,49081,0,-87,10336
106,10-30 10:56:00:284,"[KUMHO110087A90C9C246B000200E500FCB053498F6A00A9]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.211,2.98,28,18831,0,-87,10064
107,10-30 10:56:00:908,"[KUMHO110087A91CB2246B0002011B0101B04F1E2E6A00A1]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.016,2.98,24,7726,0,-95,10209
108,10-30 10:56:01:307,"[KUMHO110087A90C04246B000100F700FDAF52330C6A00A8]
",87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.97,27,13068,0,-88,10128
109,10-30 10:56:02:666,"[KUMHO110087A90C87246B000100E400FCB05339026A00A9]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.211,2.98,28,14594,0,-87,10097
110,10-30 10:56:03:656,"[KUMHO110087A90D98246B0001010E00FD9F521BAF6A00A5]
",87A90D98,24,1.0.7,1.0.6,0,1.742,-0.172,2.81,27,7087,0,-91,10112
111,10-30 10:56:04:455,"[KUMHO110087A90D9A246B0001010B00FCB0521EF56A00AC]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.211,2.98,27,7925,0,-84,10017
112,10-30 10:56:04:758,"[KUMHO110087A90C83246B000100E000FBAF5210CE6A00AF]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4302,0,-81,10240
113,10-30 10:56:04:950,"[KUMHO110087A91C14246B000100E500FCAF511F446A00AF]
",87A91C14,24,1.0.7,1.0.6,0,-3.096,-0.211,2.97,26,8004,0,-81,10049
114,10-30 10:56:05:749,"[KUMHO110087A92031246B000100E100FBAF5272A86A00AA]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29352,0,-86,10241
115,10-30 10:56:06:947,"[KUMHO110087A90CCF246B000200E000FBAB50A7AD6A00AC]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.25,2.93,25,42925,0,-84,10081
116,10-30 10:56:08:065,"[KUMHO110087A90C9E246B000200E300FCB05208A06A00A0]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2208,0,-96,10288
117,10-30 10:56:08:959,"[KUMHO110087A91B39246B0002010D00FBAF53B6A56A00AC]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28,46757,0,-84,10144
118,10-30 10:56:09:456,"[KUMHO110087A91543246B000100E800FBB052BFBA6A00AB]
",87A91543,24,1.0.7,1.0.6,0,-2.742,-0.25,2.98,27,49082,0,-85,10337
119,10-30 10:56:10:334,"[KUMHO110087A90C9C246B000200E500FBB05249906A00A8]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.25,2.98,27,18832,0,-88,10050
120,10-30 10:56:11:133,"[KUMHO110087A91CB2246B0002011C0100B04F1E2F6A009B]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.055,2.98,24,7727,0,-101,10224
121,10-30 10:56:11:436,"[KUMHO110087A90C04246B000100F800FDAF52330D6A00A9]
",87A90C04,24,1.0.7,1.0.6,0,-0.854,-0.172,2.97,27,13069,0,-87,10128
122,10-30 10:56:12:778,"[KUMHO110087A90C87246B000100E400FBB05339036A00A9]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.25,2.98,28,14595,0,-87,10112
123,10-30 10:56:13:785,"[KUMHO110087A90D98246B0001010D00FE9F521BB06A00A3]
",87A90D98,24,1.0.7,1.0.6,0,1.624,-0.133,2.81,27,7088,0,-93,10128
124,10-30 10:56:14:472,"[KUMHO110087A90D9A246B0001010B00FBB0521EF66A00AB]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.25,2.98,27,7926,0,-85,10016
125,10-30 10:56:14:983,"[KUMHO110087A90C83246B000100E000FAAF5210CF6A00AB]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.289,2.97,27,4303,0,-85,10225
126,10-30 10:56:15:015,"[KUMHO110087A91C14246B000100E400FCAF521F456A00A8]
",87A91C14,24,1.0.7,1.0.6,0,-3.214,-0.211,2.97,27,8005,0,-88,10065
127,10-30 10:56:15:989,"[KUMHO110087A92031246B000100E100FBAF5272A96A00A9]
",87A92031,24,1.0.7,1.0.6,0,-3.568,-0.25,2.97,27,29353,0,-87,10240
128,10-30 10:56:17:044,"[KUMHO110087A90CCF246B000200E000FBAB50A7AE6A00A9]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.686,-0.25,2.93,25,42926,0,-87,10096
129,10-30 10:56:18:338,"[KUMHO110087A90C9E246B000200E300FCB05208A16A009E]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2209,0,-98,10273
130,10-30 10:56:19:104,"[KUMHO110087A91B39246B0002010D00FBAF53B6A66A00AB]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28,46758,0,-85,10145
131,10-30 10:56:19:792,"[KUMHO110087A91543246B000100E900FBB052BFBB6A00AD]
",87A91543,24,1.0.7,1.0.6,0,-2.624,-0.25,2.98,27,49083,0,-83,10336
132,10-30 10:56:20:399,"[KUMHO110087A90C9C246B000200E400FBB05249916A00A3]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.214,-0.25,2.98,27,18833,0,-93,10064
133,10-30 10:56:21:342,"[KUMHO110087A91CB2246B0002011B0100B04F1E306A00A0]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.055,2.98,24,7728,0,-96,10208
134,10-30 10:56:21:565,"[KUMHO110087A90C04246B000100F700FDB052330E6A00A9]
",87A90C04,24,1.0.7,1.0.6,0,-0.972,-0.172,2.98,27,13070,0,-87,10129
135,10-30 10:56:22:875,"[KUMHO110087A90C87246B000100E400FCB05339046A00A9]
",87A90C87,24,1.0.7,1.0.6,0,-3.214,-0.211,2.98,28,14596,0,-87,10097
136,10-30 10:56:23:898,"[KUMHO110087A90D98246B0001010D00FD9F521BB16A00A6]
",87A90D98,24,1.0.7,1.0.6,0,1.624,-0.172,2.81,27,7089,0,-90,10113
137,10-30 10:56:24:489,"[KUMHO110087A90D9A246B0001010B00FCB0521EF76A00AD]
",87A90D9A,24,1.0.7,1.0.6,0,1.388,-0.211,2.98,27,7927,0,-83,10016
138,10-30 10:56:25:080,"[KUMHO110087A91C14246B000100E400FCAF511F466A00AE]
",87A91C14,24,1.0.7,1.0.6,0,-3.214,-0.211,2.97,26,8006,0,-82,10064
139,10-30 10:56:25:209,"[KUMHO110087A90C83246B000100E000FBAF5210D06A00AF]
",87A90C83,24,1.0.7,1.0.6,0,-3.686,-0.25,2.97,27,4304,0,-81,10225
140,10-30 10:56:26:230,"[KUMHO110087A92031246B000200E100FAAF5272AA6A00AB]
",87A92031,24,1.0.7,1.0.6,0.1,-3.568,-0.289,2.97,27,29354,0,-85,10241
141,10-30 10:56:27:125,"[KUMHO110087A90CCF246B000200E100FBAB50A7AF6A00A9]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.25,2.93,25,42927,0,-87,10081
142,10-30 10:56:28:611,"[KUMHO110087A90C9E246B000200E300FCB05208A26A00A0]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,27,2210,0,-96,10272
143,10-30 10:56:29:234,"[KUMHO110087A91B39246B0002010D00FBAF52B6A76A00AC]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,27,46759,0,-84,10129
